index,review,likes,stars,date
56,"Un muy buen dispositivo, a mi sobrina le. Gusto mucho.",2,5,24 jul. 2024
57,"El teléfono es muy bonito y se siente de gama alta aunque haya salido años atrás, responde bien en todas las aplicaciones y como es liberado solo pones tu chip y está listo para usar.",2,5,13 jun. 2024
58,"Original totalmente, venía sellado y todo bien.",2,5,19 may. 2024
59,"Muy buen producto, recomendado al 100.",2,5,23 dic. 2023
60,"Funciona muy bien, y excelete.",2,5,08 jun. 2022
61,"Excelente, el tamaño perfecto, calidad. Solamente deven tener mas cuidado al empacar el equipo deven poner espuma o algun relleno para que no revote el equipo.",2,5,07 jun. 2022
62,Excelente articulo.,2,5,07 jun. 2022
63,"Hasta el momento todo bien con el móvil, tiene un par de meses que lo compre y ha valido totalmente la pena.",2,5,31 may. 2022
64,"Me gusta mucho, la diracion de la bateria la verdad me sorprende.",2,5,20 may. 2022
65,Muy buen producto. Estaba todo en orden.,2,5,14 may. 2022
66,Buen equipo. Pero esperaba un poco mas por el precio.,2,4,28 mar. 2022
67,"Quede muy satisfecha, me encantó el color.",2,5,28 feb. 2022
68,"Es muy buen equipo, muy bonito color.",2,5,10 ene. 2022
69,"Todo excelente, lo que no me gusta de las nuevas generaciones es que no incluye cubo cargador, cada vez más caros y con menos accesorios que forzosamente se deben comprar por separado porque mis cubos son de 5w y 13 w y este modelo ocupa de 20w.",2,5,15 abr. 2024
70,"Super recomendable, funciona perfectamente, la bateria reslmente tiene mayor duracion, vale lo que cuesta.",2,5,05 abr. 2022
71,"El equipo es excelente, estoy muy satisfecho.",2,5,03 mar. 2022
72,Es un telefono muy bonito de una muy buena calidad la bateria a mejorado bastante en comparacion a los otros iphones estoy bastante satisfecha.,2,5,15 feb. 2022
73,"Siempre dudo con los iphone por aqueyo de que no sean originales o no vengan en buenas condiciones, pero este producto me cambio el modo de pensar , completamente nuevo sellado , batería al 100, con su cable , espero le sirva mi comentario.",1,5,07 may. 2025
74,"Excelente equipo, me gustó mucho y pedí otro al día siguiente.",1,5,21 abr. 2025
75,,1,5,06 mar. 2025
76,Excelente 100% original.,1,5,16 feb. 2025
77,"Fue un regalo para mi mamá y le encantó, solo que lo mandaron sin protección, en una bolsa jaja.",1,5,15 feb. 2025
78,Excelente!!!.,1,5,11 feb. 2025
79,"Todo excelente, el equipo llega sin ningún problema.",1,5,01 feb. 2025
80,"Excelente producto, original, mi primer iphone <3.",1,5,23 ene. 2025
81,"La duración de la batería es muy buena las cámaras en la noche salen con un poco de ruido! pero de día salen muy buenas fotos. En general, es un buen equipo, recibe actualizaciones hasta 2027 y yo espero tenerlo unos 4 años.",1,5,20 ene. 2025
