title,url,offer_type,rating,review_count,old_price,new_price
Hidrolavadora Eléctrica Portátil Y Inalámbrica Ironhoof Xbmxf015bk Negro De 550w Con 680psi De Presión Máxima 110v,https://www.mercadolibre.com.mx/hidrolavadora-electrica-portatil-y-inalambrica-ironhoof-xbmxf015bk-negro-de-550w-con-680psi-de-presion-maxima-110v/p/MLM27954436?pdp_filters=item_id%3AMLM2171235197#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=11&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM2171235197&sid=offers,OFERTA DEL DÍA,4.4,2305,0.0,286.0
Kingkang Banco De Pesas Gimnasio Multiposiciones Plegable Ajustable,https://www.mercadolibre.com.mx/kingkang-banco-de-pesas-gimnasio-multiposiciones-plegable-ajustable/p/MLM43998388?pdp_filters=item_id%3AMLM2197583361#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=12&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM2197583361&sid=offers,OFERTA DEL DÍA,4.9,39,0.0,2497.0
Birdman Creatina Monohidratada En Polvo De Alta Pureza | 90 Servicios | 450g | Sabor Natural,https://www.mercadolibre.com.mx/birdman-creatina-monohidratada-en-polvo-de-alta-pureza-90-servicios-450g-sabor-natural/p/MLM18625838?pdp_filters=item_id%3AMLM1413356802#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=13&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM1413356802&sid=offers,OFERTA RELÁMPAGO,4.8,28519,0.0,363.0
Tenis Para Hombre adidas Kaptir 3.0 Entrenar If7316,https://articulo.mercadolibre.com.mx/MLM-2249719943-tenis-para-hombre-adidas-kaptir-30-entrenar-if7316-_JM#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=14&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03,OFERTA RELÁMPAGO,4.6,135,0.0,773.0
Crema Hidratante Corporal Cetaphil En Pote 453g,https://www.mercadolibre.com.mx/crema-hidratante-corporal-cetaphil-en-pote-453g/p/MLM18390579?pdp_filters=item_id%3AMLM3541717446#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=15&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM3541717446&sid=offers,MÁS VENDIDO,4.7,740,0.0,242.0
Xiaomi Redmi Note 11e Pro 5g Dual Sim 128 Gb Negro 8 Gb Ram,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=M5TL%2FUNWV1jl7EIqPK%2FLZg6YBpGy3dunHeryMEV%2Bk8FWc%2BJ%2FtANaSP7rZn6bbGNs4g35tBhoCFAsik%2BEQj%2BjaoNTwxiD8itaWdJ6VQtT1sjx7VqcN7wJjh8ULLJI7LHHtidBQ%2B7Tsi36T3%2FKU1Ya0SgIjjCNH8zdzlg9tbd5rrnKUfRNKSU76mF%2BNZc8IOXXTKnIPcCIAit%2BuKcFPUtUG9nkNdJYCwHLiSt3OuiTZBQYdW7%2FQIv%2FMMjZdUkAPZQecfFQmxeLBVO4Dgg1VAE9YSAm6xYGeFhwpgBgKPJ75yFKQOxaUNc3kut347b0NaUDd2YlOv8Y5HSQCT1pieGLZuqVGpAleadTeLO5GhiLcDrlVf4iloEFoPDdE%2FBNrawfZADpTZNDRvVtA9IaOFtsRIFMz7k04Zu4RyvVMoqK5XqXTwtwCWjzQRbpyMeVogvywidWSvTM24vHUQYD2QnptKmQAz0BHx7BjOJptM2vPGmlnb2Ic3qgsYpoz1AMzQhy8bBkX8KfwfSj1P1kHiqfwmUBPubzEclG7eqtydzF&url=https%3A%2F%2Fwww.mercadolibre.com.mx%2Fxiaomi-redmi-note-11e-pro-5g-dual-sim-128-gb-negro-8-gb-ram%2Fp%2FMLM22827199%23wid%3DMLM3675733846%26sid%3Doffers%26searchVariation%3DMLM22827199%26position%3D16%26search_layout%3Dgrid%26deal_print_id%3Df0b088a0-90ff-4c51-9aad-c1ee72ac7965%26tracking_id%3D7be5938f-c54c-4660-ad66-adf65043fe03&lm=818477573#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=16&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM3675733846&sid=offers,na,3.9,8,0.0,3170.0
Tiras De Luz Led 20m Bluetooth App Control Rgb Música Luces,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=u8Q%2FLDsSse1ic5qHgeLwwTmOLgPvNEcyg9DovmYLXkTwDGOkRy5VzsAUWHK%2FYxqYnhya9Xyu7j3dj5PrwHYfpFffETaSqv1lUU1y2hU7Kk1QA4jDD087x7YdbV0P2UicYsyLTfvBKWTKHzoDWaAzKIoeFbQaSx3wP0EaajQjZHFx1c8fTsNnwVvxFrf%2BaCIoPu%2Foc2MY4R7HkTXpOOQaiJLJ1omV2Oaq3yr6CuSf3LkFsYcNcJrwvXGnrj2T9ltrgGqY0X02bWMalfMlBGNMXvSOJraCMjuj%2FOnc%2BUBk1hbppeTkiZoTiasJbZMZU0tGQ3416rg3DNJhIA4EPmx%2BbHLE0ZwgH2xOoM%2FsudnZmTY8JrPEV%2BxNJ%2FWO9UIRVuc5JUTzmXgC1bzYTjI4N3uB2S6jK1aBn%2B4oibKmQkRowRq1xNj1xhpUE9xQyItiKeTnKKoKrA5v%2FUVDPgT6GLd2Vg1u1Eyz%2BjhSwg1TC9v2pHE0cVmyEVZcrth45vEudgyPjpSS8MlcPDhj0m8SvIsQ6dXuuNSGuZzTgPxe75s%3D&url=https%3A%2F%2Farticulo.mercadolibre.com.mx%2FMLM-1825273216-tiras-de-luz-led-20m-bluetooth-app-control-rgb-musica-luces-_JM%23searchVariation%3D0%26position%3D17%26search_layout%3Dgrid%26deal_print_id%3Df0b088a0-90ff-4c51-9aad-c1ee72ac7965%26tracking_id%3D7be5938f-c54c-4660-ad66-adf65043fe03&lm=1161751155#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=17&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03,OFERTA RELÁMPAGO,4.7,4097,0.0,122.0
Smart Tv De 40 Jvc Si40fr Con Pantalla Led Hd,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=rsZMsI9hzxjfkMoEKS3MuS9D0RiEsO3KYGPJOc99qSflnnTwisoy4Yreunft%2FlfvS%2Fg24hj2fBZ6rYLdS521lpDshYYFnciXMt1%2FoiDrDwoof92%2BAIJgyxjh5MdNGVSVoxWSAl29VrnALZh0NV3g6rWEGzUHR31q7kupZSPXmTmFSKRwaMAyUWUrqMrjcmvRYrj2mBb5urVAeCT77RVZfU93dOcwBIM4mGhCLZPv6UDRKeavPWQ%2BCBayzWZAkaGJUodXjlYgobyUqpShhcK0%2FmcE14%2B2KknUySSSles0mbNUoemhq5FyTBHndiqscDRwb%2Bhgoepj3jbcDsZoS%2F3%2ByaFHR9uiYcucnBfCp6DpSBcs4GqHa%2B9VfXfkWCFQBTlgPBteKsVTe2eTT4FAIAIQwa%2F2b0moDoEadE5FAMO5ZAP7Sc%2FGa4lCpU99rzDNS2bcbf31R7aGLJcU4Ehrl4PwzsVDVIK8mTsOEcF4I9lN9jbdLufsp7sfSAfmDYWFBcy9qEwHbHOXfUaVjMcnmR4fokk5njp95%2FZ6O1T%2FPWY%3D&url=https%3A%2F%2Fwww.mercadolibre.com.mx%2Fsmart-tv-de-40-jvc-si40fr-con-pantalla-led-hd%2Fp%2FMLM18562451%23wid%3DMLM1745038074%26sid%3Doffers%26searchVariation%3DMLM18562451%26position%3D18%26search_layout%3Dgrid%26deal_print_id%3Df0b088a0-90ff-4c51-9aad-c1ee72ac7965%26tracking_id%3D7be5938f-c54c-4660-ad66-adf65043fe03&lm=497427821#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=18&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM1745038074&sid=offers,na,4.7,211,0.0,3717.0
"Celular Infinix Note 50 Pro Ai Phone Bioactive Halo Ai Lighting 90w Carga Superrápida 30w Inalámbrico 6,78 Amoled 144 Hz 256gb Rom 8gb Ram Bmw Edición De Carreras",https://www.mercadolibre.com.mx/celular-infinix-note-50-pro-ai-phone-bioactive-halo-ai-lighting-90w-carga-superrapida-30w-inalambrico-678-amoled-144-hz-256gb-rom-8gb-ram-bmw-edicion-de-carreras/p/MLM48943225?pdp_filters=item_id%3AMLM2304629991#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=19&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM2304629991&sid=offers,MÁS VENDIDO,4.6,26,0.0,4716.0
Starlink Kit De Internet Satelital Mini - Blanco,https://www.mercadolibre.com.mx/starlink-kit-de-internet-satelital-mini-blanco/p/MLM40656539?pdp_filters=item_id%3AMLM3537789282#polycard_client=offers&deal_print_id=f0b088a0-90ff-4c51-9aad-c1ee72ac7965&position=20&tracking_id=7be5938f-c54c-4660-ad66-adf65043fe03&wid=MLM3537789282&sid=offers,MÁS VENDIDO,4.7,508,0.0,3499.0
